CITY,NAME,ADDRESS,STATE,ZIP,X,Y
ALAMEDA,GRACEPOINT CHURCH,1275 HARBOR BAY PWKY ,CA,94502,-122.22954,37.72801
ALAMEDA,ALMANAC BEER CO.,651 W TOWER AVE ,CA,94501,-122.30633,37.783375
ALAMEDA,LINCOLN MIDDLE SCHOOL,1250 FERNSIDE BLVD ,CA,94501,-122.23166,37.753357
ALAMEDA,SOUTH SHORE CENTER,2130 OTIS DRIVE ,CA,94501,-122.25285,37.760136
ALAMEDA,ALAMEDA HIGH SCHOOL,2201 ENCINAL AVE ,CA,94501,-122.248241,37.769054
ALAMEDA,ISLAND HIGH SCHOOL,500 PACIFIC AVE ,CA,94501,-122.28204,37.776352
ALBANY,UNIVERSITY VILLAGE APPARATUS BAY,1053 MONROE ST ,CA,94706,-122.29984,37.884068
ALBANY,ALBANY VETERANS MEMORIAL BUILDING,1325 PORTLAND AVE ,CA,94706,-122.29078,37.894814
BERKELEY,BERKELEY HIGH SCHOOL GYM,1980 ALLSTON WAY ,CA,94704,-122.27101,37.869
BERKELEY,ED ROBERTS CAMPUS,3075 ADELINE ST ,CA,94703,-122.269346,37.852701
BERKELEY,LAWRENCE HALL OF SCIENCE,1 CENTENNIAL DR ,CA,94720,-122.245914,37.884485
BERKELEY,LONGFELLOW SCHOOL GYM,1500 DERBY ST ,CA,94703,-122.278412,37.863355
BERKELEY,CITY OF BERKELEY PRIVATE BUILDING,1011 UNIVERSITY AVE ,CA,94710,-122.29345,37.868927
BERKELEY,MLK STUDENT UNION 3RD FLOOR BALLROOM,2455 BANCROFT WAY ,CA,94720,-122.25967,37.868668
BERKELEY,NORTHBRAE COMMUNITY CHURCH,941 THE ALAMEDA ,CA,94707,-122.27682,37.890263
BERKELEY,EPWORTH UNITED METHODIST CH,1953 HOPKINS ST ,CA,94707,-122.27337,37.88733
BERKELEY,WILLARD MIDDLE SCHOOL,2425 STUART ST ,CA,94705,-122.25857,37.859634
CASTRO VALLEY,CASTRO VALLEY LIBRARY,3600 NORBRIDGE AVE ,CA,94546,-122.07156,37.6981
CASTRO VALLEY,CANYON MIDDLE SCHOOL,19600 CULL CANYON RD ,CA,94552,-122.05435,37.706398
CASTRO VALLEY,PALOMARES HILLS REC CTR,6811 VILLAREAL DR ,CA,94552,-122.028442,37.71424
CASTRO VALLEY,KENNETH C. AITKEN SENIOR CTR,17800 REDWOOD RD ,CA,94546,-122.07379,37.71511
CHERRYLAND,HIRING HALL,1050 MATTOX RD ,CA,94541,-122.0997,37.6863
DUBLIN,ST RAYMOND CATHOLIC CHURCH,11555 SHANNON AVE ,CA,94568,-121.940556,37.712938
DUBLIN,DUBLIN UNIFIED SCH DISTRICT BOARDROOM,7471 LARKDALE AVE ,CA,94568,-121.930786,37.716255
DUBLIN,FALLON MIDDLE SCHOOL GYM,3601 KOHNEN WAY ,CA,94568,-121.868355,37.7149
DUBLIN,DUBLIN SENIOR CENTER,7600 AMADOR VALLEY BLVD ,CA,94568,-121.93385,37.706757
EMERYVILLE,YOUTH AND ADULT SERVICE GYM,1170 47TH ST ,CA,94608,-122.282715,37.835415
FREMONT,SIKH TEMPLE,300 GURDWARA RD ,CA,94536,-121.99873,37.584167
FREMONT,PARADISE BALLROOM EVENT CENTER,4100 PERALTA BLVD ,CA,94536,-122.006882,37.556271
FREMONT,ISLAMIC CENTER ON FREMONT,42412 ALBREA ST ,CA,94538,-121.971815,37.509324
FREMONT,E.M. GRIMMER ELEM SCHOOL,43030 NEWPORT DR ,CA,94538,-121.95162,37.519848
FREMONT,JAMES LEITCH ELEM SCHOOL,47100 FERNALD ST ,CA,94539,-121.92392,37.487915
FREMONT,FREMONT ADULT SCHOOL,4700 CALAVERAS AVE ,CA,94538,-121.992134,37.538
FREMONT,MISSION SAN JOSE ELEM SCHOOL,43545 BRYANT ST ,CA,94539,-121.921486,37.52867
FREMONT,AMERICAN HIGH SCHOOL,36300 FREMONT  BLVD ,CA,94536,-122.016451,37.565361
FREMONT,ARDENWOOD ELEM SCHOOL,33955 EMILIA LN ,CA,94555,-122.052185,37.57319
FREMONT,VALLEJO MILL ELEM SCHOOL,38569 CANYON HEIGHTS DR ,CA,94536,-121.959816,37.574512
FREMONT,WARWICK ELEM SCHOOL,3375 WARWICK RD ,CA,94555,-122.03081,37.5762
FREMONT,FREMONT MAIN LIBRARY,2450 STEVENSON BLVD ,CA,94538,-121.972115,37.55078
HAYWARD,ST CLEMENTS CHURCH MCCOLLUM HALL,738 CALHOUN ST ,CA,94544,-122.05883,37.64226
HAYWARD,PALMA CEIA BAPTIST CHURCH,28605 RUUS RD ,CA,94544,-122.06712,37.62798
HAYWARD,CAL STATE EAST BAY NEW UNIV UNION #2,25800 CARLOS BEE BLVD ,CA,94542,-122.062225,37.65878
HAYWARD,MISSION PARADISE BANQUET HALL,31115 MISSION BLVD ,CA,94544,-122.036632,37.618768
HAYWARD,SOUTHLAND MALL,1 SOUTHLAND MALL DR ,CA,94545,-122.103685,37.650583
HAYWARD,DOWNTOWN HAYWARD PUBLIC LIBRARY,888 C ST ,CA,94541,-122.0832,37.67095
HAYWARD,LIFE WEST COLLEGE,25001 INDUSTRIAL BLVD ,CA,94545,-122.11678,37.638145
HAYWARD,CHABOT COLLEGE,25555 HESPARIAN BLVD ,CA,94545,-122.10372,37.64219
HAYWARD,FAIRVIEW ELEM SCHOOL,23515 MAUD AVE ,CA,94541,-122.05247,37.6813
LIVERMORE,SPRINGTOWN AUDITORIUM,931 LARKSPUR DR ,CA,94551,-121.74156,37.70639
LIVERMORE,BOTHWELL ARTS CENTER,2466 8TH ST ,CA,94550,-121.76277,37.67678
LIVERMORE,MARYLIN AVE ELEMENTARY SCH MPR,800 MARYLIN AVE ,CA,94551,-121.78717,37.683865
LIVERMORE,SUNSET ELEMENTARY SCHOOL,1671 FRANKFURT WAY ,CA,94550,-121.77335,37.6627
LIVERMORE,ARROYO SECO SCHOOL MPR,5280 IRENE WAY ,CA,94550,-121.72889,37.68383
LIVERMORE,ALTAMONT CREEK ELEM SCHOOL MPR,6500 GARAVENTA RANCH RD ,CA,94551,-121.71909,37.722664
NEWARK,ALOFT SILICON VALLEY HOTEL,8200 GATEWAY BLVD ,CA,94560,-122.062965,37.537403
NEWARK,NEWARK COMMUNITY CENTER,35501 CEDAR BLVD ,CA,94560,-122.041391,37.549692
NEWARK,NEWPARK MALL,2086 NEWPARK MALL ,CA,94560,-121.998436,37.524307
OAKLAND,GOLDEN STATE WARRIORS-PRACTICE/TRAINING,1011 BROADWAY ,CA,94607,-122.27294,37.801712
OAKLAND,JOAQUIN MILLER COMM. CENTER ASSEMBLY RMS,3594 SANBORN DR ,CA,94602,-122.187325,37.812183
OAKLAND,LAKESIDE PARK GARDEN CENTER - VISTA ROOM,666 BELLEVUE AVE ,CA,94610,-122.25909,37.807343
OAKLAND,SOLDIER TOWN,31 4TH ST ,CA,94607,-122.26536,37.79402
OAKLAND,ALLEN TEMPLE,8501 INTERNATIONAL BLVD ,CA,94621,-122.177411,37.752469
OAKLAND,NEW BEGINNINGS CHURCH,1428 61ST AVE ,CA,94621,-122.1981,37.764732
OAKLAND,EVERGREEN MISSIONARY BAPTIST CH,408 W MACARTHUR BLVD ,CA,94609,-122.26198,37.825382
OAKLAND,BROOKFIELD VILLAGE ELEM SCHOOL MPR,401 JONES AVE ,CA,94603,-122.18859,37.73595
OAKLAND,YMCA OF THE EAST BAY,2350 BROADWAY ,CA,94612,-122.265477,37.812805
OAKLAND,WEST OAKLAND MIDDLE SCHOOL MPR,991 14TH ST ,CA,94607,-122.282108,37.807989
OAKLAND,ELMHURST MIDDLE SCHOOL GYM,1800 98TH AVE ,CA,94603,-122.166338,37.74694
OAKLAND,PRESCOTT SCHOOL MPR,920 CAMPBELL ST ,CA,94607,-122.298096,37.808464
OAKLAND,OAKLAND HIGH SCHOOL MPR,1023 MACARTHUR BLVD ,CA,94610,-122.23696,37.805458
OAKLAND,MONTERA MIDDLE SCHOOL MPR,5555 ASCOT DR ,CA,94611,-122.20121,37.81923
OAKLAND,OAKLAND TECH HIGH SCHOOL GYM,4351 BROADWAY ,CA,94611,-122.25419,37.831684
OAKLAND,SEQUOIA ELEM SCHOOL GYM,3730 LINCOLN AVE ,CA,94602,-122.21155,37.802326
OAKLAND,THINK COLLEGE NOW GYM,2825 INTERNATIONAL BLVD ,CA,94601,-122.230385,37.78
OAKLAND,UNITED FOR SUCCESS ACADEMY GYM,2101 35TH AVE ,CA,94601,-122.216736,37.78432
OAKLAND,EASTMONT MALL,7200 BANCROFT AVE ,CA,94605,-122.178275,37.772312
OAKLAND,ST THERESA CHURCH GYM,4850 CLAREWOOD DR ,CA,94618,-122.23188,37.83649
OAKLAND,KAPOR ANNEX WAREHOUSE,1901 POPLAR ST ,CA,94607,-122.288055,37.81392
OAKLAND,UNITED CEREBRAL PALSY,4500 LINCOLN AVE ,CA,94602,-122.20307,37.809036
OAKLAND,OAKLAND ARENA,7000 COLISEUM WAY ,CA,94621,-122.19834,37.75163
OAKLAND,ST BENEDICT CHURCH,2245 82ND AVE ,CA,94605,-122.16959,37.760494
OAKLAND,ASCEND SCHOOL,3709 E 12TH ST ,CA,94601,-122.219431,37.779436
OAKLAND,MILLS COLLEGE,5000 MACARTHUR BLVD ,CA,94613,-122.18648,37.776314
PIEDMONT,PIEDMONT VETERANS MEMORIAL BLDG,401 HIGHLAND AVE ,CA,94611,-122.23213,37.82482
PLEASANTON,ST ELIZABETH SETON GYM,4005 STONERIDGE DR ,CA,94588,-121.874865,37.692022
PLEASANTON,THOMAS S HART MIDDLE SCHOOL,4433 WILLOW RD ,CA,94588,-121.896562,37.688469
PLEASANTON,HARVEST PARK MIDDLE SCHOOL,4900 VALLEY AVE ,CA,94566,-121.883313,37.675425
PLEASANTON,PLEASANTON MIDDLE SCHOOL MPR,5001 CASE AVE ,CA,94566,-121.881584,37.656876
PLEASANTON,VALLEY VIEW ELEMENTARY SCHOOL,480 ADAMS WAY ,CA,94566,-121.86363,37.66052
SAN LEANDRO,21ST AMENDMENT BREWERY,2010 WILLIAMS ST ,CA,94577,-122.17771,37.710217
SAN LEANDRO,BARBARA LEE CENTER,2251 BANCROFT AVE ,CA,94578,-122.14312,37.717509
SAN LEANDRO,ST PETERS CHURCH,294 BROADMOOR BLVD ,CA,94577,-122.15982,37.736546
SAN LEANDRO,ENCOUNTER CHURCH,562 LEWELLING BLVD ,CA,94579,-122.13341,37.68661
SAN LEANDRO,SAN LEANDRO VETERANS MEMORIAL BLDG,1105 BANCROFT AVE ,CA,94577,-122.148451,37.732791
SAN LORENZO,ARROYO HIGH SCHOOL,15701 LORENZO AVE ,CA,94580,-122.13831,37.680832
SAN LORENZO,EDENDALE MIDDLE SCHOOL,16160 ASHLAND AVE ,CA,94580,-122.118866,37.695583
UNION CITY,CESAR CHAVEZ MIDDLE SCHOOL,281 HOP RANCH RD ,CA,94587,-122.047413,37.592506
UNION CITY,JAMES LOGAN HIGH SCHOOL,1800 H ST ,CA,94587,-122.0265,37.591633
UNION CITY,MARK GREEN CENTER,31224 UNION CITY BLVD ,CA,94587,-122.080106,37.598293
UNION CITY,NEW HAVEN ADULT SCHOOL,600 G ST ,CA,94587,-122.01961,37.600456