,NAME,c_race,c_white,c_black,c_asian,c_latinx,state_fips,county_fips,tract_fips,med_rent,med_hhinc,c_tenants,c_owners,c_renters,c_movers,c_stay,c_movelocal,c_movecounty,c_movestate,c_moveabroad,c_commute,c_car,c_carpool,c_transit,c_bike,c_walk,year,FIPS_11_digit,p_white,p_black,p_asian,p_latinx,p_owners,p_renters,p_stay,p_movelocal,p_movecounty,p_movestate,p_moveabroad,p_car,p_carpool,p_transit,p_bike,p_walk
9907,"Census Tract 332.01, San Francisco County, California",4483,1342,353,1024,1467,6,75,33201,1680.0,34706.0,620,0,620,4483,1260,349,2681,103,90,1870,277,46,920,0,578,2018,06075033201,0.2993531117555209,0.07874191389694403,0.22841846977470445,0.3272362257416908,0.0,1.0,0.28106178898059336,0.07784965424938657,0.5980370287753737,0.02297568592460406,0.02007584207004238,0.1481283422459893,0.024598930481283417,0.4919786096256685,0.0,0.3090909090909091
9908,"Census Tract 111, San Francisco County, California",4778,2574,295,1385,316,6,75,11100,1640.0,105561.0,3144,252,2892,4749,3741,581,221,164,42,3617,551,175,1047,126,1281,2018,06075011100,0.5387191293428213,0.06174131435747175,0.28987023859355376,0.06613645876935957,0.08015267175572519,0.9198473282442748,0.7877447883765003,0.12234154558854494,0.0465361128658665,0.034533586018109075,0.008843967150979154,0.1523361902128836,0.048382637544926735,0.2894664086259331,0.03483549903234725,0.3541609068288637
9909,"Census Tract 117, San Francisco County, California",1768,556,55,834,233,6,75,11700,1009.0,63958.0,1019,82,937,1743,1561,82,43,38,19,1046,99,33,273,37,520,2018,06075011700,0.31447963800904977,0.031108597285067874,0.4717194570135746,0.13178733031674209,0.08047105004906771,0.9195289499509324,0.8955823293172691,0.04704532415375789,0.024670109007458405,0.021801491681009755,0.010900745840504877,0.09464627151051626,0.03154875717017208,0.2609942638623327,0.03537284894837476,0.49713193116634796
10317,"Census Tract 154, San Francisco County, California",5970,3603,72,1572,328,6,75,15400,2267.0,125651.0,2865,849,2016,5880,4775,585,263,197,60,3896,1103,561,1414,140,206,2018,06075015400,0.6035175879396985,0.012060301507537688,0.2633165829145729,0.05494137353433836,0.2963350785340314,0.7036649214659686,0.8120748299319728,0.09948979591836736,0.04472789115646258,0.033503401360544215,0.010204081632653059,0.2831108829568789,0.14399383983572894,0.3629363449691992,0.03593429158110883,0.05287474332648871
10318,"Census Tract 104, San Francisco County, California",4430,2700,2,1153,265,6,75,10400,2142.0,111105.0,2418,988,1430,4378,3945,135,126,90,82,2829,744,47,517,131,1180,2018,06075010400,0.6094808126410836,0.0004514672686230248,0.2602708803611738,0.05981941309255079,0.4086021505376344,0.5913978494623656,0.9010963910461398,0.030835998172681588,0.02878026496116948,0.02055733211512106,0.018730013704888075,0.26299045599151644,0.01661364439731354,0.18275008837044893,0.046306115235065386,0.4171085189112761
10319,"Census Tract 255, San Francisco County, California",9754,2164,106,4048,3142,6,75,25500,1806.0,114015.0,2768,1830,938,9594,8464,646,156,72,256,5239,2527,397,1612,110,90,2018,06075025500,0.22185769940537212,0.010867336477342629,0.4150092269838015,0.3221242567151938,0.6611271676300579,0.3388728323699422,0.8822180529497603,0.06733375026057953,0.016260162601626018,0.0075046904315197,0.026683343756514488,0.4823439587707578,0.07577782019469365,0.3076923076923077,0.02099637335369345,0.017178850925749188
10320,"Census Tract 256, San Francisco County, California",5403,686,73,3073,1357,6,75,25600,1096.0,85288.0,1482,1116,366,5380,5167,113,84,7,9,2831,1467,533,625,28,62,2018,06075025600,0.12696650009254118,0.013511012400518229,0.5687580973533223,0.25115676476031834,0.7530364372469636,0.24696356275303644,0.9604089219330856,0.02100371747211896,0.015613382899628252,0.0013011152416356874,0.0016728624535315983,0.518191451783822,0.1882726951607206,0.22077004592016955,0.009890498057223595,0.021900388555280818
10321,"Census Tract 258, San Francisco County, California",2020,303,113,1169,409,6,75,25800,1578.0,91250.0,613,350,263,1991,1890,59,26,1,15,1064,527,153,302,0,17,2018,06075025800,0.15,0.055940594059405935,0.5787128712871287,0.2024752475247525,0.5709624796084829,0.4290375203915171,0.9492717227523856,0.029633350075339026,0.013058764439979907,0.0005022601707684581,0.0075339025615268704,0.4953007518796992,0.143796992481203,0.28383458646616544,0.0,0.015977443609022556
10322,"Census Tract 260.01, San Francisco County, California",6018,635,134,2403,2625,6,75,26001,1645.0,74883.0,1591,952,639,5966,5586,224,112,44,0,2997,1169,381,979,75,119,2018,06075026001,0.1055167829843802,0.02226653373213692,0.39930209371884345,0.4361914257228315,0.5983658076681333,0.4016341923318668,0.9363057324840764,0.03754609453570231,0.018773047267851155,0.007375125712370098,0.0,0.3900567233900567,0.12712712712712712,0.32665999332665996,0.025025025025025027,0.039706373039706366
10323,"Census Tract 451, San Francisco County, California",5330,2636,115,1957,498,6,75,45100,2198.0,116429.0,2102,833,1269,5253,4619,274,191,120,49,3462,1239,197,1242,329,222,2018,06075045100,0.4945590994371482,0.021575984990619138,0.3671669793621013,0.09343339587242026,0.3962892483349191,0.6037107516650809,0.8793070626308775,0.05216067009328003,0.03636017513801637,0.022844089091947455,0.009328003045878544,0.3578856152512998,0.05690352397458118,0.3587521663778163,0.0950317735413056,0.06412478336221837
10324,"Census Tract 452, San Francisco County, California",6913,3005,221,2577,486,6,75,45200,1838.0,98864.0,2958,914,2044,6892,5806,487,458,141,0,4178,1844,223,1417,192,131,2018,06075045200,0.434688268479676,0.031968754520468684,0.3727759294083611,0.07030232894546506,0.30899256254225826,0.6910074374577417,0.8424260011607662,0.07066163668020893,0.06645385954730122,0.020458502611723738,0.0,0.4413595021541407,0.0533748204882719,0.339157491622786,0.045955002393489715,0.03135471517472475
10325,"Census Tract 261, San Francisco County, California",7516,553,85,4173,2418,6,75,26100,1748.0,89917.0,2069,1108,961,7451,6855,102,298,76,120,4283,2046,599,1540,29,23,2018,06075026100,0.07357637040979244,0.011309207025013306,0.5552155401809473,0.32171367748802554,0.5355244079265346,0.4644755920734655,0.9200107368138504,0.01368943765937458,0.03999463159307475,0.010199973157965373,0.0161052207757348,0.4777025449451319,0.13985524165304694,0.3595610553350455,0.006770954938127481,0.005370067709549381
10326,"Census Tract 233, San Francisco County, California",3456,247,396,2106,683,6,75,23300,821.0,58125.0,1100,577,523,3441,3324,92,11,14,0,1635,802,184,546,9,15,2018,06075023300,0.07146990740740741,0.11458333333333333,0.609375,0.19762731481481485,0.5245454545454545,0.4754545454545455,0.9659982563208368,0.026736413833188026,0.0031967451322290033,0.004068584713746004,0.0,0.490519877675841,0.1125382262996942,0.3339449541284404,0.005504587155963303,0.009174311926605505
10327,"Census Tract 253, San Francisco County, California",4819,2628,73,603,1143,6,75,25300,1848.0,144583.0,1819,806,1013,4728,4092,389,94,101,52,3065,942,139,1207,286,199,2018,06075025300,0.5453413571280349,0.015148371031334304,0.12512969495746004,0.2371861382029467,0.4431006047278725,0.5568993952721275,0.8654822335025381,0.08227580372250423,0.01988155668358714,0.021362098138747884,0.010998307952622674,0.3073409461663948,0.04535073409461664,0.39380097879282216,0.0933115823817292,0.06492659053833605
10328,"Census Tract 254.01, San Francisco County, California",3725,1909,128,397,1069,6,75,25401,1889.0,122232.0,1373,595,778,3700,3148,280,203,25,44,2273,690,311,759,155,34,2018,06075025401,0.51248322147651,0.03436241610738255,0.10657718120805368,0.2869798657718121,0.43335761107064813,0.5666423889293518,0.8508108108108108,0.07567567567567568,0.05486486486486487,0.006756756756756757,0.011891891891891892,0.3035635723713154,0.13682358117025956,0.33391992960844696,0.06819181698196218,0.014958205015398154
10329,"Census Tract 305, San Francisco County, California",3344,1385,335,1024,315,6,75,30500,,143558.0,1051,762,289,3344,2919,317,69,26,13,1293,594,141,376,33,34,2018,06075030500,0.41417464114832536,0.10017942583732058,0.3062200956937799,0.09419856459330143,0.725023786869648,0.27497621313035203,0.8729066985645934,0.09479665071770337,0.020633971291866032,0.007775119617224879,0.0038875598086124397,0.4593967517401392,0.10904872389791184,0.2907965970610982,0.025522041763341063,0.0262954369682908
10330,"Census Tract 263.01, San Francisco County, California",5246,675,37,3061,1457,6,75,26301,1667.0,70345.0,1384,854,530,5237,4880,186,149,0,22,2551,1213,312,942,0,35,2018,06075026301,0.1286694624475791,0.007052992756385819,0.5834921845215402,0.2777354174609226,0.6170520231213873,0.3829479768786127,0.9318312010693144,0.03551651708993698,0.028451403475272107,0.0,0.004200878365476418,0.475499803998432,0.12230497843982753,0.3692669541356331,0.0,0.013720109760878087
10331,"Census Tract 263.02, San Francisco County, California",5269,715,150,3012,1256,6,75,26302,1479.0,84457.0,1498,921,577,5244,4890,201,52,28,73,2895,1512,369,753,0,14,2018,06075026302,0.13569937369519833,0.02846840007591573,0.5716454735243879,0.2383754033023344,0.6148197596795728,0.3851802403204273,0.9324942791762014,0.03832951945080092,0.009916094584286805,0.005339435545385202,0.013920671243325706,0.522279792746114,0.12746113989637306,0.2601036269430052,0.0,0.0048359240069084635
10332,"Census Tract 263.03, San Francisco County, California",5216,628,26,2977,1564,6,75,26303,1918.0,92992.0,1255,758,497,5189,4827,175,123,22,42,2990,1206,353,1378,0,3,2018,06075026303,0.12039877300613495,0.0049846625766871155,0.5707438650306749,0.2998466257668712,0.6039840637450199,0.3960159362549801,0.9302370398920794,0.03372518789747543,0.023703989207939872,0.004239737907111196,0.008094045095394103,0.4033444816053512,0.11806020066889633,0.4608695652173913,0.0,0.001003344481605351
10333,"Census Tract 311, San Francisco County, California",6899,3029,90,2151,1184,6,75,31100,2311.0,127011.0,2433,1628,805,6850,5990,465,261,76,58,3948,1622,396,1426,65,125,2018,06075031100,0.4390491375561675,0.013045368894042614,0.3117843165676185,0.17161907522829395,0.6691327579120427,0.3308672420879573,0.8744525547445255,0.06788321167883211,0.038102189781021895,0.011094890510948904,0.008467153284671533,0.4108409321175279,0.10030395136778117,0.36119554204660587,0.01646403242147923,0.03166160081053698
11061,"Census Tract 217, San Francisco County, California",4309,2277,339,977,470,6,75,21700,1342.0,150455.0,1812,1282,530,4211,3914,152,80,43,22,2352,1056,127,770,113,14,2018,06075021700,0.5284288698073799,0.0786725458343003,0.22673474123926665,0.10907403109770247,0.7075055187637969,0.2924944812362031,0.9294704345761102,0.036095939206839234,0.018997862740441702,0.010211351222987414,0.005224412253621468,0.4489795918367347,0.05399659863945578,0.3273809523809524,0.048044217687074835,0.005952380952380952
11062,"Census Tract 228.02, San Francisco County, California",2329,828,133,366,891,6,75,22802,1494.0,102750.0,680,191,489,2304,1811,327,81,23,62,1268,239,106,539,134,115,2018,06075022802,0.3555173894375268,0.057106054100472314,0.1571489909832546,0.38256762559038215,0.2808823529411765,0.7191176470588235,0.7860243055555556,0.14192708333333334,0.03515625,0.009982638888888888,0.026909722222222224,0.18848580441640375,0.083596214511041,0.4250788643533123,0.1056782334384858,0.09069400630914827
11063,"Census Tract 229.01, San Francisco County, California",5174,1782,63,277,2997,6,75,22901,1968.0,91464.0,1547,375,1172,5099,4749,165,61,114,10,3103,479,100,1692,476,131,2018,06075022901,0.34441437959025895,0.012176265945110166,0.05353691534596057,0.5792423656745265,0.24240465416936005,0.7575953458306399,0.9313590900176504,0.03235928613453618,0.011963130025495195,0.022357324965679545,0.0019611688566385566,0.1543667418627135,0.03222687721559781,0.545278762487915,0.15339993554624556,0.042217209152433134
11064,"Census Tract 229.02, San Francisco County, California",2605,931,123,273,1094,6,75,22902,2091.0,133239.0,803,333,470,2575,2228,170,48,90,39,1556,273,88,451,295,235,2018,06075022902,0.35738963531669865,0.0472168905950096,0.10479846449136276,0.4199616122840691,0.4146948941469489,0.5853051058530511,0.8652427184466019,0.06601941747572816,0.018640776699029128,0.03495145631067961,0.015145631067961166,0.17544987146529564,0.05655526992287916,0.2898457583547558,0.18958868894601544,0.15102827763496146
11065,"Census Tract 229.03, San Francisco County, California",3561,1060,90,380,1916,6,75,22903,2006.0,128750.0,1128,461,667,3509,3006,338,45,82,38,2106,747,99,755,91,150,2018,06075022903,0.2976691940466161,0.025273799494524008,0.10671159786576803,0.5380511092389778,0.40868794326241137,0.5913120567375887,0.8566543174693645,0.0963237389569678,0.012824166429182104,0.02336848104873183,0.010829296095753777,0.3547008547008547,0.047008547008547015,0.3584995251661918,0.043209876543209874,0.07122507122507123
11066,"Census Tract 230.03, San Francisco County, California",3830,450,726,1911,694,6,75,23003,1981.0,77365.0,1252,1063,189,3797,3664,96,14,7,16,1824,1006,235,355,33,100,2018,06075023003,0.1174934725848564,0.18955613577023495,0.4989556135770235,0.18120104438642295,0.8490415335463258,0.1509584664536741,0.9649723465894128,0.02528311825125099,0.0036871214116407686,0.0018435607058203843,0.004213853041875165,0.5515350877192983,0.1288377192982456,0.19462719298245612,0.018092105263157892,0.05482456140350877
11067,"Census Tract 264.03, San Francisco County, California",3962,270,126,2595,930,6,75,26403,1468.0,75455.0,1134,578,556,3948,3638,88,135,24,63,1898,840,236,808,0,4,2018,06075026403,0.06814740030287733,0.03180212014134275,0.6549722362443211,0.2347299343765775,0.5097001763668431,0.490299823633157,0.9214792299898684,0.022289766970618036,0.03419452887537994,0.0060790273556231,0.015957446808510637,0.4425711275026343,0.12434141201264487,0.4257112750263435,0.0,0.002107481559536354
11068,"Census Tract 302.01, San Francisco County, California",4542,2330,135,1417,314,6,75,30201,1862.0,111000.0,1976,540,1436,4429,3985,249,87,77,31,2887,1056,132,1031,172,112,2018,06075030201,0.5129898723029502,0.029722589167767505,0.31197710259797445,0.06913254073095552,0.2732793522267207,0.7267206477732794,0.8997516369383608,0.056220365771054416,0.01964326032964552,0.017385414314743733,0.006999322646195529,0.3657776238309664,0.0457222029788708,0.35711811569102875,0.059577416002771034,0.03879459646692068
11069,"Census Tract 303.02, San Francisco County, California",4315,1398,184,2205,357,6,75,30302,2119.0,138125.0,1493,1220,273,4274,3928,212,67,57,10,2487,1071,235,673,69,128,2018,06075030302,0.32398609501738124,0.04264194669756663,0.5110081112398609,0.08273464658169177,0.8171466845277964,0.18285331547220365,0.9190453907346748,0.049602246139447824,0.0156761815629387,0.013336452971455309,0.002339728591483388,0.43063932448733416,0.09449135504624047,0.27060715721753115,0.027744270205066344,0.05146763168476076
11070,"Census Tract 304, San Francisco County, California",5641,2637,179,1987,391,6,75,30400,1919.0,160733.0,1975,1565,410,5595,5122,189,92,173,19,2926,1388,295,883,41,93,2018,06075030400,0.4674703066832122,0.03173196241801099,0.35224251019322816,0.06931395142705195,0.7924050632911392,0.2075949367088608,0.9154602323503128,0.033780160857908845,0.01644325290437891,0.030920464700625563,0.003395889186773905,0.4743677375256322,0.10082023239917977,0.3017771701982228,0.014012303485987695,0.031784005468216
11072,"Census Tract 103, San Francisco County, California",4229,2531,0,1233,401,6,75,10300,1993.0,138630.0,1970,505,1465,4215,3607,270,73,105,160,2729,564,185,880,60,758,2018,06075010300,0.5984866398675811,0.0,0.2915582880113502,0.09482147079687868,0.2563451776649746,0.7436548223350253,0.8557532621589561,0.06405693950177936,0.01731909845788849,0.02491103202846975,0.03795966785290629,0.20666910956394285,0.06779039941370467,0.3224624404543789,0.021986075485525832,0.27775742030047634
11345,"Census Tract 110, San Francisco County, California",4792,2491,86,1884,318,6,75,11000,2042.0,121299.0,2497,418,2079,4775,4031,242,324,43,135,3560,468,287,1443,183,830,2018,06075011000,0.5198247078464107,0.0179465776293823,0.3931552587646077,0.06636060100166945,0.16740088105726872,0.8325991189427313,0.8441884816753926,0.05068062827225131,0.06785340314136126,0.009005235602094241,0.028272251308900525,0.13146067415730334,0.08061797752808987,0.4053370786516854,0.05140449438202247,0.2331460674157303
11720,"Census Tract 260.04, San Francisco County, California",5011,579,85,2333,1788,6,75,26004,1800.0,95655.0,1301,848,453,4975,4600,201,148,26,0,2641,1227,353,827,51,105,2018,06075026004,0.11554579924166833,0.01696268209938136,0.4655757333865496,0.3568150069846338,0.6518063028439662,0.3481936971560338,0.9246231155778896,0.040402010050251264,0.029748743718592964,0.005226130653266332,0.0,0.4645967436577054,0.13366149185914428,0.31313896251419915,0.019310867095797046,0.039757667550170385
11721,"Census Tract 301.01, San Francisco County, California",5045,2940,55,1214,519,6,75,30101,2179.0,122264.0,2061,639,1422,4920,3809,545,308,208,50,3056,998,214,1192,197,252,2018,06075030101,0.5827552031714569,0.010901883052527254,0.2406342913776016,0.10287413280475717,0.31004366812227074,0.6899563318777293,0.7741869918699187,0.11077235772357724,0.06260162601626018,0.04227642276422764,0.01016260162601626,0.3265706806282723,0.0700261780104712,0.3900523560209424,0.06446335078534031,0.0824607329842932
11722,"Census Tract 330, San Francisco County, California",8425,2843,10,4317,814,6,75,33000,2220.0,100907.0,2824,1865,959,8352,7483,481,297,59,32,4498,2055,524,1551,20,74,2018,06075033000,0.3374480712166172,0.0011869436201780415,0.5124035608308606,0.0966172106824926,0.6604107648725213,0.33958923512747874,0.8959530651340997,0.057590996168582376,0.035560344827586216,0.007064176245210728,0.0038314176245210726,0.4568697198755002,0.11649622054246332,0.3448199199644286,0.004446420631391729,0.0164517563361494
11723,"Census Tract 254.03, San Francisco County, California",5050,1321,570,1387,1625,6,75,25403,1487.0,109118.0,1408,812,596,5013,4505,298,78,106,26,2553,1294,243,655,105,58,2018,06075025403,0.2615841584158416,0.11287128712871287,0.2746534653465347,0.3217821782178218,0.5767045454545454,0.4232954545454545,0.8986634749650908,0.059445441851186914,0.015559545182525432,0.02114502294035508,0.005186515060841812,0.5068546807677242,0.09518213866039953,0.2565609087348218,0.04112808460634548,0.0227183705444575
11724,"Census Tract 264.01, San Francisco County, California",3548,132,335,2560,461,6,75,26401,1530.0,75156.0,1003,735,268,3490,3342,119,18,11,0,1742,933,229,483,0,25,2018,06075026401,0.03720405862457723,0.09441939120631343,0.7215332581736189,0.12993235625704622,0.7328015952143571,0.26719840478564305,0.957593123209169,0.034097421203438394,0.005157593123209169,0.003151862464183381,0.0,0.5355912743972445,0.1314580941446613,0.2772675086107922,0.0,0.014351320321469576
11725,"Census Tract 302.02, San Francisco County, California",4487,2301,117,1356,426,6,75,30202,2029.0,123139.0,2095,613,1482,4450,3876,287,136,62,89,2879,795,209,1213,99,338,2018,06075030202,0.5128147983062179,0.02607532872743481,0.3022063739692445,0.09494094049476264,0.2926014319809069,0.7073985680190931,0.8710112359550561,0.06449438202247193,0.030561797752808987,0.013932584269662922,0.02,0.2761375477596388,0.0725946509204585,0.4213268496005558,0.03438693990969086,0.1174018756512678
11726,"Census Tract 353, San Francisco County, California",7309,2202,0,4244,521,6,75,35300,1885.0,93375.0,2573,1764,809,7208,6655,311,131,0,111,3541,1621,476,1004,0,95,2018,06075035300,0.3012724038856205,0.0,0.5806539882336845,0.07128198111916816,0.6855810338126701,0.31441896618732995,0.9232796892341842,0.043146503884572696,0.01817425083240844,0.0,0.015399556048834627,0.457780288054222,0.13442530358655747,0.2835357243716464,0.0,0.02682857949731714
11727,"Census Tract 476, San Francisco County, California",5605,2208,58,2537,324,6,75,47600,2092.0,103676.0,2324,886,1438,5526,4781,555,107,32,51,3233,1334,291,943,161,281,2018,06075047600,0.3939339875111508,0.010347903657448709,0.4526315789473685,0.05780553077609276,0.3812392426850258,0.6187607573149742,0.8651827723488962,0.1004343105320304,0.019363011219688742,0.00579080709373869,0.009229098805646038,0.4126198577172904,0.09000927930714507,0.29167955459325706,0.04979894834519023,0.08691617692545624
11728,"Census Tract 106, San Francisco County, California",3356,1249,55,1886,121,6,75,10600,1033.0,40380.0,1797,199,1598,3343,2892,170,93,81,107,1964,308,35,491,81,898,2018,06075010600,0.3721692491060787,0.01638855780691299,0.5619785458879618,0.03605482717520858,0.110740122426266,0.889259877573734,0.8650912354172898,0.0508525276697577,0.027819323960514508,0.024229733772061026,0.032007179180376905,0.15682281059063136,0.017820773930753563,0.25,0.04124236252545825,0.4572301425661914
11729,"Census Tract 208, San Francisco County, California",6399,2437,97,1075,2394,6,75,20800,1446.0,103134.0,2719,394,2325,6379,5250,345,523,247,14,4502,810,107,1896,607,460,2018,06075020800,0.38084075636818254,0.015158618534145959,0.1679949992186279,0.37412095639943743,0.1449062155204119,0.8550937844795881,0.8230130114438,0.05408371218059257,0.08198777237811569,0.03872080263364164,0.0021947013638501326,0.1799200355397601,0.023767214571301643,0.4211461572634385,0.1348289649044869,0.10217681030653043
11730,"Census Tract 610, San Francisco County, California",4851,628,686,2776,560,6,75,61000,2349.0,93287.0,1752,971,781,4756,4343,205,61,80,67,2562,1475,315,562,56,18,2018,06075061000,0.12945784374355804,0.1414141414141414,0.5722531436817151,0.11544011544011545,0.5542237442922374,0.4457762557077626,0.9131623212783851,0.04310344827586207,0.012825904121110177,0.01682085786375105,0.014087468460891506,0.5757220921155347,0.12295081967213115,0.21935987509757998,0.02185792349726776,0.00702576112412178
11731,"Census Tract 203, San Francisco County, California",3413,2149,142,495,364,6,75,20300,2029.0,140000.0,1760,504,1256,3374,2695,391,61,105,122,2590,424,37,1468,104,205,2018,06075020300,0.6296513331380018,0.041605625549370064,0.14503369469674773,0.10665104014063874,0.2863636363636364,0.7136363636363636,0.7987551867219918,0.1158861885002964,0.018079430942501484,0.03112033195020747,0.03615886188500297,0.1637065637065637,0.014285714285714284,0.5667953667953668,0.04015444015444016,0.07915057915057915
11732,"Census Tract 207, San Francisco County, California",5075,2997,52,735,907,6,75,20700,1990.0,167422.0,2491,706,1785,4996,4119,488,91,267,31,3802,686,239,1509,320,505,2018,06075020700,0.5905418719211822,0.010246305418719213,0.14482758620689656,0.1787192118226601,0.2834203131272581,0.7165796868727419,0.8244595676541233,0.0976781425140112,0.01821457165732586,0.05344275420336269,0.006204963971176942,0.1804313519200421,0.06286165176223041,0.3968963703314045,0.08416622830089426,0.13282482903734874
11733,"Census Tract 211, San Francisco County, California",4199,2972,25,502,429,6,75,21100,2277.0,180656.0,1887,879,1008,4124,3370,243,156,157,198,2456,745,202,845,112,66,2018,06075021100,0.7077875684686831,0.005953798523457966,0.11955227435103595,0.1021671826625387,0.46581875993640703,0.5341812400635929,0.8171677982541222,0.05892337536372454,0.03782735208535402,0.0380698351115422,0.04801163918525704,0.3033387622149837,0.08224755700325732,0.34405537459283386,0.04560260586319218,0.02687296416938111
11734,"Census Tract 212, San Francisco County, California",3095,2170,69,301,329,6,75,21200,1950.0,176845.0,1453,829,624,3041,2472,319,79,171,0,2003,782,140,600,77,112,2018,06075021200,0.7011308562197092,0.022294022617124397,0.09725363489499192,0.1063004846526656,0.5705437026841018,0.4294562973158981,0.8128904965471885,0.10489970404472213,0.025978296612956264,0.056231502795133184,0.0,0.3904143784323515,0.06989515726410385,0.2995506739890165,0.03844233649525712,0.055916125811283066
11735,"Census Tract 213, San Francisco County, California",2650,1899,16,379,197,6,75,21300,2271.0,158276.0,1250,702,548,2650,2292,274,33,41,10,1661,658,93,535,12,9,2018,06075021300,0.7166037735849057,0.0060377358490566035,0.1430188679245283,0.07433962264150944,0.5616,0.4384,0.8649056603773585,0.10339622641509434,0.012452830188679246,0.015471698113207547,0.0037735849056603774,0.3961468994581577,0.0559903672486454,0.3220951234196267,0.0072245635159542436,0.0054184226369656825
11736,"Census Tract 107, San Francisco County, California",5522,730,0,4332,385,6,75,10700,709.0,25502.0,2491,221,2270,5504,5027,134,125,200,18,2729,387,87,967,21,1151,2018,06075010700,0.13219847881202462,0.0,0.7844983701557406,0.0697211155378486,0.08871938980329185,0.911280610196708,0.9133357558139537,0.02434593023255814,0.022710755813953487,0.036337209302325583,0.0032703488372093025,0.14181018688164165,0.03187980945401246,0.35434224990839136,0.0076951264199340424,0.42176621473067055
